DocLabel,DatePublish
A/67/651,20-Dec-12
A/67/770,01-Mar-13
A/C.5/67/L.23,28-Mar-13
A/66/516,14-Oct-11
A/66/7/Add.10,09-Nov-11
A/RES/66/247,01-Mar-12
A/66/94,22-Jun-11
A/66/7/Add.1,21-Nov-11
A/RES/66/246,29-Feb-12
A/65/491,05-Oct-10
A/65/576,16-Nov-10
A/RES/65/259,11-Apr-11
A/64/477,06-Oct-09
A/64/7/Add.9,16-Nov-09
A/RES/64/243,24-Feb-10
A/63/743,27-Feb-09
A/63/774,18-Mar-09
A/RES/63/269,07-May-09
A/62/793,09-Apr-08
A/62/793/Corr.1,07-May-08
A/62/793/Add.1,09-Sep-08
A/62/510/Rev.1,10-Apr-08
A/62/477,09-Oct-07
A/62/502,23-Oct-07
A/63/487,16-Oct-08
A/RES/63/262,05-Mar-09
A/60/846/Add.1,12-May-06
A/60/870,09-Jun-06
A/RES/60/283,17-Aug-06
